endpoint	dataset	graph	count
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bcs7	245
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bcs8	17192
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bcsr-onto	1545
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bcteo	3789
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bctt	333
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bdo	45836
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/be	8937
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bero	11075906
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bfo	1268
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bhn	11814
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bho	6536
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bibliotek-o	2668
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bifo	470
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/biodivthes	25425
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/biolink	15272
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/biomo	17588
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/biomodels	2986721
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bipom	5319
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bipon	45111
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/birnlex	43986
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/birthonto	68381
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bko	7310
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bmont	11332
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bms-lm	4549
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bmt	3439
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bno	425
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bof	3489
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bp-metadata	1214
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bp	1249
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bpt	249029
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/brain-cof	994
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/brct	11239
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bridg	52596
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bro	3353
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/brso	80
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bsao	2462
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bspo	6782
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bt-ontology	13165
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bt	6108
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bto-bfo	386
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bto-emmo	453
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bto-provo	390
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bto	104982
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bto_ontology	883
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cabro	317
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/canco	1378
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/canont	546
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cao	2831
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/carelex	8624
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/caro	103747
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/carolio	1484
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/carre	2029
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/case-base-onto	1342
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cbo	2400
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ccf	511
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cco	18209610
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ccon	1837
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ccont	2717404
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cctoo	40434
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cdao	2196
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cdmonto	1421
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cdno	132661
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cdo	57312
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cdoh	2704
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cdpeo	4892
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cedarvs	169
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ceph	18631
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/chd	4626
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/chear	194782
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/chebi	7627348
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/chembio	1382
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cheminf	11431
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/chemrof	6227
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/chiro	210804
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/chmo	55178
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cho	216
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/chr	49860
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/chro	37368
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cido	621224
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cidoc-crm	3794
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ciinteado	33396
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cio	1238
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cisaviado	33396
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ckdo	601
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cl	765234
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/clao	23432
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/clo	616362
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/clyh	4435
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cmdo	2126
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cmo	69294
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cmpo	34117
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cmr-qa	1109
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cn	4259
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cno	3185
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/co-wheat	3224
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cob	590
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/codo	11214
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cogat	31970
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cogpo	2162
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cohsi2study	543
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cohsi2termsweekx	254
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/coid	10239
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cokpme	480
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/colao	41915
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/comet	4289
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/como	5200
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/comodi	299
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/condor	254
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/contsonto	2914
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/copdo	340
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/costart	21586
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/covid-19-ont-pm	1908
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/covid-19	42634
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/covid19-ibo	714
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/covid19	166
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/covidcrfrapid	4855
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cpro	1977
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cptac	1607
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/creno	11100
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/crisp	145697
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cro	1786
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cryoem	663
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cseo	168607
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cso	112
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/csso	3784
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cstd	1568
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ctcae	132788
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cteno	13184
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ctgo	1648
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cto-ndd	2453
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cto	5016
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ctont	592
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ctu_beready_gem	2041
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ctx	13797
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cu-vo	91625
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cvao	19967
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cvdo	16230
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cwd	205
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/cyto	5705
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/d3o	2137
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/datacite-vocab	663
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/datacite	747
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/datahub	769
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dc	782
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dcat-fdc	1342
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dcat	270
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dcat3	3993
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dccdfv	168
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dcm	30770
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dcmitype	317
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dco	648
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dct	1056
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dcterms	1056
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ddanat	3386
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ddi	2064
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ddiem	2856
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ddpheno	19390
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ddss	10971092
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/deb	2963
